system:index,Delta_BSI,Delta_MNDWI,Delta_NDBI,Delta_NDVI,Delta_NDWI,.geo
395,-0.022062367589209986,-0.10526474954868997,0.0032442035715695705,0.06620389577440289,-0.06623658567129465,"{""type"":""MultiPoint"",""coordinates"":[]}"
416,-0.03978876955302779,-0.13498013561549405,-0.011449923208555035,0.06865684647743975,-0.08626291830225619,"{""type"":""MultiPoint"",""coordinates"":[]}"
427,-0.046157688179420564,-0.1028237633458649,-0.022221673770599193,0.050256482655667845,-0.07512392060503004,"{""type"":""MultiPoint"",""coordinates"":[]}"
446,-0.07973193886733881,-0.06626424508742901,-0.03719788055201417,0.08892515040101967,-0.05875941953718189,"{""type"":""MultiPoint"",""coordinates"":[]}"
450,0.04393206645526712,-0.047264288542248734,0.04436889247675169,-0.017023294852313797,-0.005696850620215188,"{""type"":""MultiPoint"",""coordinates"":[]}"
453,-0.12152510104910363,-0.1001726892533153,-0.06871073091426128,0.1254323054772899,-0.0993933270098295,"{""type"":""MultiPoint"",""coordinates"":[]}"
456,0.029792293916447832,-0.044511199628188,0.019718839787232822,-0.03468967104882292,-0.01954908986967374,"{""type"":""MultiPoint"",""coordinates"":[]}"
467,-0.04989461121115468,0.005608811984019246,-0.044786686154722366,0.019578773847216846,-0.02355020488214754,"{""type"":""MultiPoint"",""coordinates"":[]}"
470,-0.04231334367085099,-0.0619129286998521,-0.020526266767700474,0.04732857517925604,-0.050633147666671596,"{""type"":""MultiPoint"",""coordinates"":[]}"
486,0.028027765284568684,-0.03794730104951499,0.02478036471395645,0.035620061871911024,-0.009368699142870307,"{""type"":""MultiPoint"",""coordinates"":[]}"
490,0.021473072989249546,-0.07946823615094817,0.05194118992055673,0.01795853260130259,-0.029633510796550078,"{""type"":""MultiPoint"",""coordinates"":[]}"
493,0.03454637039645991,-0.10443017159345891,0.027129472378842168,0.0872097879807372,-0.04857909804867655,"{""type"":""MultiPoint"",""coordinates"":[]}"
497,-0.09097559679500566,-0.06885003325212957,-0.046310965677738514,0.08747906094699731,-0.06523601884787322,"{""type"":""MultiPoint"",""coordinates"":[]}"
515,-0.057916656376450826,-0.03906342542609548,-0.037396543592130904,0.05044623655861069,-0.04531751914382276,"{""type"":""MultiPoint"",""coordinates"":[]}"
536,-0.02195606680450557,-0.11008972878532669,0.008753773972777212,0.06255587417748498,-0.06629871741749738,"{""type"":""MultiPoint"",""coordinates"":[]}"
557,-0.1037915760114469,-0.03616263828332039,-0.06679154681265659,0.09420526255657558,-0.06894145219899428,"{""type"":""MultiPoint"",""coordinates"":[]}"
592,-0.1383386405832524,0.015188245096407704,-0.11280876818333085,0.08426008723121092,-0.0564588488163128,"{""type"":""MultiPoint"",""coordinates"":[]}"
596,-0.03499421912633521,-0.06652016376290448,-0.008537852124105794,0.05249824584462581,-0.04425415373309538,"{""type"":""MultiPoint"",""coordinates"":[]}"
612,-0.047110081086836064,-0.02619974967682337,-0.037192134876898264,0.03820216874780824,-0.03818145702134834,"{""type"":""MultiPoint"",""coordinates"":[]}"
626,0.2379146128042373,-0.012277938986909875,0.20932145680883504,-0.2136003495259,0.1414552184898734,"{""type"":""MultiPoint"",""coordinates"":[]}"
634,0.12209989619616679,-0.04787597574607949,0.1184917543489579,-0.10028753232155219,0.04074588338694807,"{""type"":""MultiPoint"",""coordinates"":[]}"
641,0.29348879475811385,0.09641219850427712,0.2710148110312944,-0.3782632106040864,0.2871608463181748,"{""type"":""MultiPoint"",""coordinates"":[]}"
655,0.030035974303638996,-0.057306406656090214,0.03704777189894232,-0.00921054865522053,-0.018105525452353333,"{""type"":""MultiPoint"",""coordinates"":[]}"
673,-0.06357230872135061,-0.21515973260385418,9.589591227950334E-4,0.15966867373215943,-0.13849094335601664,"{""type"":""MultiPoint"",""coordinates"":[]}"
678,0.013422688109967829,0.0545333339948012,0.002556775457674243,-0.037128765293091615,0.033788629622323985,"{""type"":""MultiPoint"",""coordinates"":[]}"
715,-0.05750697037204994,-0.05794464046119452,-0.026452582254070323,0.05879508774051756,-0.051160997108929074,"{""type"":""MultiPoint"",""coordinates"":[]}"
720,-0.07903666635711498,-0.15118106011742205,-0.03199983004292234,0.1338992037402229,-0.12163533594261555,"{""type"":""MultiPoint"",""coordinates"":[]}"
729,-0.024056725276318025,-0.07429521416470913,-0.002588871828742234,0.057894947740665836,-0.05124098809093658,"{""type"":""MultiPoint"",""coordinates"":[]}"
735,-0.07552176092782997,-0.05352941945866413,-0.05594601767283042,0.059225368498226794,-0.0677664944234011,"{""type"":""MultiPoint"",""coordinates"":[]}"
736,-0.06645343788684832,-0.1369337560136778,-0.01998329659431608,0.09335770382584285,-0.08944843964141724,"{""type"":""MultiPoint"",""coordinates"":[]}"
770,-0.027373844058749597,-0.027352708897601052,-0.023393048386572635,0.010616215023157682,-0.03054627403586907,"{""type"":""MultiPoint"",""coordinates"":[]}"
792,-0.05838414282149007,-0.09897814290176904,-0.029039345577745124,0.05824239604891168,-0.07318871929394233,"{""type"":""MultiPoint"",""coordinates"":[]}"
799,0.06288020262954422,-0.05474006564752143,0.07103593747099213,-0.030897069873354277,0.007586311419456426,"{""type"":""MultiPoint"",""coordinates"":[]}"
812,-0.03443785657534515,-0.039092165436781956,-0.022944225394889495,0.03176924928530456,-0.039682923707183626,"{""type"":""MultiPoint"",""coordinates"":[]}"
819,-0.00218762886470536,-0.014532114107467242,7.683220261080481E-4,0.01182666913263064,-0.008857272411952777,"{""type"":""MultiPoint"",""coordinates"":[]}"
827,0.22595076410499593,0.08829037034554482,0.19547539298679695,-0.2778063775183527,0.2043269255378704,"{""type"":""MultiPoint"",""coordinates"":[]}"
841,-0.13795905405900152,0.033720958386979416,-0.11049036330810683,0.14723681362698327,-0.05463754450888947,"{""type"":""MultiPoint"",""coordinates"":[]}"
867,-0.0013999363167368495,0.012043945255389765,-0.005086845012748531,-0.004390266038298063,0.0047087869620547895,"{""type"":""MultiPoint"",""coordinates"":[]}"
876,-0.028057089115692713,-0.0596897446397488,-0.018386211232250704,0.029019448599939324,-0.04577455830190458,"{""type"":""MultiPoint"",""coordinates"":[]}"
886,0.03212499377837885,0.028782937106442252,0.028736583526621062,-0.0575476488221901,0.038897300029800075,"{""type"":""MultiPoint"",""coordinates"":[]}"
894,-0.004719954095091461,-0.05497383738793438,-0.0029540006798693397,0.0072425107121849575,-0.03703715795391027,"{""type"":""MultiPoint"",""coordinates"":[]}"
902,-0.044152282132256304,-0.010734411733174853,-0.037047804728146505,0.018599983874000747,-0.029020189853733558,"{""type"":""MultiPoint"",""coordinates"":[]}"
